source,target,value
Austin Daye,Tiago Splitter,1
C.J. McCollum,Thomas Robinson,1
Austin Daye,Wayne Ellington,1
Tayshaun Prince,Will Bynum,2
Jeff Green,Kelly Olynyk,1
Kelly Olynyk,MarShon Brooks,1
Dominic McGuire,Orlando Johnson,1
Austin Daye,Quincy Pondexter,1
Jerryd Bayless,Mike Conley,2
Danny Granger,Sam Young,1
Chris Copeland,Kenyon Martin,1
Paul Pierce,Tornike Shengelia,1
P.J. Tucker,Wesley Johnson,1
Chauncey Billups,Greg Monroe,1
Carlos Boozer,Cartier Martin,1
Joel Freeland,Thomas Robinson,1
Dennis Schroeder,Shelvin Mack,1
Anthony Morrow,Kris Humphries,1
Brandan Wright,Dahntay Jones,1
Marco Belinelli,Nazr Mohammed,1
Richard Jefferson,Rudy Gobert,1
Marc Gasol,Rudy Gay,2
Eric Bledsoe,Matt Barnes,1
Jeremy Tyler,Josh Smith,1
Derek Fisher,Kobe Bryant,1
Anthony Tolliver,Johan Petro,1
Nolan Smith,Victor Claver,1
Chandler Parsons,Thomas Robinson,1
Danny Granger,Matt Barnes,1
Chris Wright,Dorell Wright,1
Cole Aldrich,Ryan Reid,1
Brook Lopez,Shelden Williams,1
Adonis Thomas,Jason Maxiell,1
Carmelo Anthony,Pablo Prigioni,2
Hedo Turkoglu,Josh McRoberts,1
Patrick Beverley,Toney Douglas,1
Lamar Odom,Vince Carter,1
Hamed Haddadi,Tony Allen,2
Iman Shumpert,Mike Bibby,1
Boris Diaw,Kawhi Leonard,3
Jeremy Pargo,Marreese Speights,2
Jeff Foote,Solomon Jones,1
Jimmer Fredette,Joakim Noah,1
Earl Watson,Paul Millsap,2
Hassan Whiteside,John Salmons,1
Elton Brand,Rodrigue Beaubois,1
Brian Scalabrine,John Lucas,1
Chris Andersen,DeMarre Carroll,1
Gerald Henderson,Tyrus Thomas,2
Blake Griffin,Reggie Evans,1
Jarrett Jack,Scotty Hopson,1
Kevin Jones,Kyrie Irving,1
Dionte Christmas,Shavlik Randolph,1
John Lucas,Sebastian Telfair,1
Hedo Turkoglu,J.J. Redick,3
Dante Cunningham,Rudy Gay,1
Nick Young,Royal Ivey,1
Brian Skinner,Lester Hudson,1
Drew Gooden,Samuel Dalembert,1
J.J. Hickson,Jimmer Fredette,1
Dante Cunningham,Sam Young,1
Evan Turner,Hollis Thompson,1
Earl Boykins,Jordan Hill,1
Andrea Bargnani,Chris Smith,1
Russell Westbrook,Ryan Gomes,1
Anthony Randolph,Anthony Tolliver,1
Aaron Brooks,Kenneth Faried,1
Amar'e Stoudemire,Steve Novak,2
LaMarcus Aldridge,Raymond Felton,1
Kyle Lowry,Quincy Acy,2
Aaron Gray,Jamaal Magloire,1
Glen Davis,Quentin Richardson,1
Jarrett Jack,Solomon Jones,1
Jordan Hamilton,Nate Robinson,1
Shannon Brown,Tiago Splitter,1
Jose Calderon,Quincy Acy,1
Archie Goodwin,Shavlik Randolph,1
Juwan Howard,Mickell Gladness,1
Darius Morris,Metta World Peace,2
Hasheem Thabeet,Luis Scola,1
Spencer Hawes,Tyler Zeller,1
Alexey Shved,Dante Cunningham,2
Beno Udrih,John Henson,1
Donald Sloan,Lavoy Allen,1
Joel Freeland,Robin Lopez,1
A.J. Price,Kyrylo Fesenko,1
Cole Aldrich,Nazr Mohammed,1
D.J. White,Leandro Barbosa,1
Jordan Hamilton,Randy Foye,1
Orlando Johnson,Rudy Gay,1
Andre Roberson,Caron Butler,1
Greg Smith,Jordan Hamilton,1
Jonas Jerebko,Viacheslav Kravtsov,1
Blake Ahearn,Paul Millsap,1
Brian Roberts,Josh Childress,1
Ishmael Smith,Justin Harper,1
Khris Middleton,Tayshaun Prince,1
