Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201103120MIL.html,201103120MIL,PHI,Philadelphia 76ers,74,MIL,Milwaukee Bucks,102,RG
http://www.basketball-reference.com/boxscores/201103120NOH.html,201103120NOH,SAC,Sacramento Kings,103,NOH,New Orleans Hornets,115,RG
http://www.basketball-reference.com/boxscores/201103120WAS.html,201103120WAS,LAC,Los Angeles Clippers,122,WAS,Washington Wizards,101,RG
http://www.basketball-reference.com/boxscores/201103130BOS.html,201103130BOS,MIL,Milwaukee Bucks,56,BOS,Boston Celtics,87,RG
http://www.basketball-reference.com/boxscores/201103130CLE.html,201103130CLE,OKC,Oklahoma City Thunder,95,CLE,Cleveland Cavaliers,75,RG
http://www.basketball-reference.com/boxscores/201103130GSW.html,201103130GSW,MIN,Minnesota Timberwolves,77,GSW,Golden State Warriors,100,RG
http://www.basketball-reference.com/boxscores/201103130NYK.html,201103130NYK,IND,Indiana Pacers,106,NYK,New York Knicks,93,RG
http://www.basketball-reference.com/boxscores/201103130PHO.html,201103130PHO,ORL,Orlando Magic,111,PHO,Phoenix Suns,88,RG
http://www.basketball-reference.com/boxscores/201103130TOR.html,201103130TOR,CHA,Charlotte Bobcats,95,TOR,Toronto Raptors,90,RG
http://www.basketball-reference.com/boxscores/201103140HOU.html,201103140HOU,PHO,Phoenix Suns,93,HOU,Houston Rockets,95,RG
http://www.basketball-reference.com/boxscores/201103140LAL.html,201103140LAL,ORL,Orlando Magic,84,LAL,Los Angeles Lakers,97,RG
http://www.basketball-reference.com/boxscores/201103140MEM.html,201103140MEM,LAC,Los Angeles Clippers,82,MEM,Memphis Grizzlies,105,RG
http://www.basketball-reference.com/boxscores/201103140MIA.html,201103140MIA,SAS,San Antonio Spurs,80,MIA,Miami Heat,110,RG
http://www.basketball-reference.com/boxscores/201103140NJN.html,201103140NJN,BOS,Boston Celtics,79,NJN,New Jersey Nets,88,RG
http://www.basketball-reference.com/boxscores/201103140NOH.html,201103140NOH,DEN,Denver Nuggets,114,NOH,New Orleans Hornets,103,RG
http://www.basketball-reference.com/boxscores/201103140SAC.html,201103140SAC,GSW,Golden State Warriors,119,SAC,Sacramento Kings,129,RG
http://www.basketball-reference.com/boxscores/201103140UTA.html,201103140UTA,PHI,Philadelphia 76ers,107,UTA,Utah Jazz,112,OT
http://www.basketball-reference.com/boxscores/201103140WAS.html,201103140WAS,OKC,Oklahoma City Thunder,116,WAS,Washington Wizards,89,RG
http://www.basketball-reference.com/boxscores/201103150ATL.html,201103150ATL,MIL,Milwaukee Bucks,85,ATL,Atlanta Hawks,110,RG
http://www.basketball-reference.com/boxscores/201103150CHI.html,201103150CHI,WAS,Washington Wizards,79,CHI,Chicago Bulls,98,RG
http://www.basketball-reference.com/boxscores/201103150IND.html,201103150IND,NYK,New York Knicks,117,IND,Indiana Pacers,119,RG
http://www.basketball-reference.com/boxscores/201103150POR.html,201103150POR,DAL,Dallas Mavericks,101,POR,Portland Trail Blazers,104,RG
http://www.basketball-reference.com/boxscores/201103160ATL.html,201103160ATL,DEN,Denver Nuggets,102,ATL,Atlanta Hawks,87,RG
http://www.basketball-reference.com/boxscores/201103160BOS.html,201103160BOS,IND,Indiana Pacers,80,BOS,Boston Celtics,92,RG
http://www.basketball-reference.com/boxscores/201103160DET.html,201103160DET,TOR,Toronto Raptors,93,DET,Detroit Pistons,107,RG
http://www.basketball-reference.com/boxscores/201103160GSW.html,201103160GSW,DAL,Dallas Mavericks,112,GSW,Golden State Warriors,106,RG
http://www.basketball-reference.com/boxscores/201103160HOU.html,201103160HOU,CHA,Charlotte Bobcats,78,HOU,Houston Rockets,94,RG
http://www.basketball-reference.com/boxscores/201103160LAC.html,201103160LAC,PHI,Philadelphia 76ers,104,LAC,Los Angeles Clippers,94,RG
http://www.basketball-reference.com/boxscores/201103160MIA.html,201103160MIA,OKC,Oklahoma City Thunder,96,MIA,Miami Heat,85,RG
http://www.basketball-reference.com/boxscores/201103160MIL.html,201103160MIL,ORL,Orlando Magic,93,MIL,Milwaukee Bucks,89,OT
http://www.basketball-reference.com/boxscores/201103160NOH.html,201103160NOH,PHO,Phoenix Suns,95,NOH,New Orleans Hornets,100,RG
http://www.basketball-reference.com/boxscores/201103160SAC.html,201103160SAC,CLE,Cleveland Cavaliers,97,SAC,Sacramento Kings,93,RG
http://www.basketball-reference.com/boxscores/201103160UTA.html,201103160UTA,MIN,Minnesota Timberwolves,104,UTA,Utah Jazz,119,RG
http://www.basketball-reference.com/boxscores/201103170NJN.html,201103170NJN,CHI,Chicago Bulls,84,NJN,New Jersey Nets,73,RG
http://www.basketball-reference.com/boxscores/201103170NYK.html,201103170NYK,MEM,Memphis Grizzlies,99,NYK,New York Knicks,120,RG
http://www.basketball-reference.com/boxscores/201103170POR.html,201103170POR,CLE,Cleveland Cavaliers,70,POR,Portland Trail Blazers,111,RG
http://www.basketball-reference.com/boxscores/201103180ATL.html,201103180ATL,MIA,Miami Heat,106,ATL,Atlanta Hawks,85,RG
http://www.basketball-reference.com/boxscores/201103180DAL.html,201103180DAL,SAS,San Antonio Spurs,97,DAL,Dallas Mavericks,91,RG
http://www.basketball-reference.com/boxscores/201103180DET.html,201103180DET,NYK,New York Knicks,95,DET,Detroit Pistons,99,RG
http://www.basketball-reference.com/boxscores/201103180HOU.html,201103180HOU,BOS,Boston Celtics,77,HOU,Houston Rockets,93,RG
