Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
73,Matt Carroll,SG,32,CHA,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
74,Vince Carter,SF,36,DAL,81,3,25.8,4.6,10.6,.435,2.0,4.9,.406,2.6,5.6,.461,2.2,2.8,.816,0.7,3.4,4.1,2.4,0.9,0.5,1.3,2.8,13.4,3180000.0
75,Omri Casspi,SF,24,CLE,43,1,11.7,1.5,3.7,.394,0.6,1.8,.329,0.9,2.0,.452,0.5,1.0,.537,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,4.0,947907.0
76,Mario Chalmers,PG,26,MIA,77,77,26.9,2.9,6.9,.429,1.6,3.9,.409,1.4,3.0,.456,1.2,1.5,.795,0.2,2.0,2.2,3.5,1.5,0.2,1.5,2.5,8.6,4000000.0
77,Tyson Chandler,C,30,NYK,66,66,32.8,3.9,6.1,.638,0.0,0.0,,3.9,6.1,.638,2.7,3.9,.694,4.1,6.6,10.7,0.9,0.6,1.1,1.3,2.8,10.4,14100537.0
78,Wilson Chandler,PF,25,DEN,43,8,25.1,4.9,10.6,.462,1.2,2.9,.413,3.7,7.7,.480,2.0,2.6,.793,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0,6344164.0
79,Josh Childress,SF,29,BRK,14,0,7.1,0.4,1.5,.286,0.1,0.2,.333,0.4,1.3,.278,0.1,0.1,.500,0.4,0.6,1.1,0.4,0.1,0.1,0.0,0.2,1.0,237292.0
80,Earl Clark,PF,25,LAL,59,36,23.1,2.9,6.5,.440,0.6,1.8,.337,2.3,4.8,.479,0.9,1.3,.697,1.4,4.1,5.5,1.1,0.6,0.7,1.1,1.7,7.3,4250000.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0
81,Victor Claver,SF,24,POR,49,16,16.6,1.5,3.9,.392,0.5,1.8,.287,1.0,2.1,.480,0.3,0.6,.467,0.6,1.8,2.4,0.9,0.5,0.2,0.9,1.5,3.8,1330000.0
82,Norris Cole,PG,24,MIA,80,4,19.9,2.2,5.3,.421,0.4,1.2,.357,1.8,4.1,.440,0.7,1.0,.650,0.2,1.4,1.6,2.1,0.7,0.1,1.3,1.9,5.6,1129200.0
83,Jason Collins,C,34,TOT,38,9,10.1,0.2,0.8,.310,0.0,0.0,,0.2,0.8,.310,0.6,0.8,.719,0.6,1.0,1.6,0.2,0.3,0.3,0.5,2.2,1.1,0
83,Jason Collins,C,34,BOS,32,7,10.3,0.3,0.7,.348,0.0,0.0,,0.3,0.7,.348,0.7,0.9,.700,0.7,1.0,1.6,0.2,0.3,0.2,0.5,2.3,1.2,0
83,Jason Collins,C,34,WAS,6,2,9.0,0.2,1.0,.167,0.0,0.0,,0.2,1.0,.167,0.3,0.3,1.000,0.2,1.2,1.3,0.3,0.3,0.7,0.3,1.8,0.7,0
84,Darren Collison,PG,25,DAL,81,47,29.3,4.2,8.9,.471,0.6,1.7,.353,3.6,7.3,.498,3.0,3.4,.880,0.4,2.3,2.7,5.1,1.2,0.1,2.1,1.7,12.0,1900000.0
85,Nick Collison,C,32,OKC,81,2,19.5,2.2,3.7,.595,0.0,0.0,.000,2.2,3.6,.603,0.7,1.0,.769,1.5,2.6,4.1,1.5,0.6,0.4,0.9,2.4,5.1,2585668.0
86,Mike Conley,PG,25,MEM,80,80,34.5,5.2,11.8,.440,1.3,3.7,.362,3.9,8.1,.476,2.9,3.5,.830,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6,8000001.0
87,Will Conroy,PG,30,MIN,4,0,5.0,0.0,2.3,.000,0.0,0.8,.000,0.0,1.5,.000,0.3,0.5,.500,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0
88,Daequan Cook,SG,25,TOT,49,1,9.0,1.0,3.4,.305,0.5,1.9,.286,0.5,1.6,.329,0.2,0.2,.750,0.1,1.1,1.2,0.4,0.2,0.1,0.3,0.5,2.8,0
88,Daequan Cook,SG,25,HOU,16,1,10.3,1.3,3.7,.356,0.7,1.9,.367,0.6,1.8,.345,0.1,0.2,.667,0.3,0.8,1.1,0.6,0.4,0.1,0.4,0.8,3.4,0
88,Daequan Cook,SG,25,CHI,33,0,8.4,0.9,3.3,.278,0.5,1.8,.246,0.5,1.4,.319,0.2,0.3,.778,0.1,1.2,1.3,0.3,0.1,0.2,0.3,0.4,2.5,0
89,Chris Copeland,PF,28,NYK,56,13,15.4,3.3,6.8,.479,1.1,2.5,.421,2.2,4.3,.513,1.1,1.5,.759,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7,3000000.0
90,DeMarcus Cousins,C,22,SAC,75,74,30.5,6.4,13.8,.465,0.1,0.3,.182,6.4,13.5,.471,4.2,5.6,.738,3.0,7.0,9.9,2.7,1.4,0.7,3.0,3.6,17.1,4916974.0
91,Jamal Crawford,SG,32,LAC,76,0,29.3,5.9,13.4,.438,2.0,5.2,.376,3.9,8.2,.477,2.8,3.3,.871,0.3,1.4,1.7,2.5,1.0,0.2,1.9,0.9,16.5,5225000.0
92,Jordan Crawford,SG,24,TOT,70,14,24.4,4.3,10.4,.415,1.2,3.5,.337,3.1,6.8,.455,1.8,2.3,.811,0.6,2.4,3.0,3.2,0.6,0.1,2.0,1.5,11.6,2162419.0
92,Jordan Crawford,SG,24,WAS,43,12,26.2,4.9,11.8,.415,1.4,4.0,.345,3.5,7.8,.451,2.0,2.5,.821,0.7,2.4,3.1,3.7,0.6,0.1,2.3,1.4,13.2,2162419.0
92,Jordan Crawford,SG,24,BOS,27,2,21.6,3.3,8.0,.415,0.9,2.8,.320,2.4,5.3,.465,1.6,2.0,.792,0.5,2.3,2.7,2.5,0.4,0.1,1.6,1.7,9.1,2162419.0
93,Jae Crowder,SF,22,DAL,78,16,17.3,1.8,4.7,.384,0.8,2.5,.328,1.0,2.2,.446,0.6,0.9,.644,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1.6,5.0,788872.0
94,Dante Cunningham,SF,25,MIN,80,9,25.1,3.9,8.4,.468,0.0,0.1,.000,3.9,8.3,.472,0.8,1.3,.650,1.8,3.3,5.1,0.8,1.1,0.5,0.7,1.9,8.7,2180000.0
