Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
78,Marcus Camby,C,37,TOT,59,1352,16.2,.455,.449,.223,.017,13.3,32.7,22.8,11.9,1.9,4.8,15.3,12.6,105,98,1.1,2.5,3.6,.127
78,Marcus Camby,C,37,POR,40,894,14.5,.428,.416,.236,.000,13.4,33.2,23.1,12.4,1.9,4.8,20.9,11.5,100,98,0.3,1.6,1.9,.100
78,Marcus Camby,C,37,HOU,19,458,19.6,.491,.492,.206,.040,13.0,31.7,22.3,10.9,1.9,4.7,6.8,14.6,115,97,0.8,0.9,1.7,.179
79,Brian Cardinal,SF,34,DAL,44,277,3.3,.373,.345,.109,.891,1.6,12.1,6.9,8.3,1.5,0.6,12.2,11.0,82,105,-0.3,0.3,0.0,.004
80,DeMarre Carroll,SF-PF,25,TOT,24,348,11.1,.478,.443,.152,.181,9.1,8.3,8.8,8.1,1.8,0.2,8.9,15.9,106,109,0.3,0.2,0.5,.069
80,DeMarre Carroll,PF,25,DEN,4,21,25.2,1.000,1.000,.000,.000,0.0,16.2,8.3,27.7,0.0,0.0,25.0,17.0,139,111,0.1,0.0,0.1,.211
80,DeMarre Carroll,SF,25,UTA,20,327,10.1,.448,.409,.162,.192,9.7,7.8,8.8,6.9,1.9,0.2,7.8,15.8,104,109,0.2,0.2,0.4,.060
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
81,Matt Carroll,SG,31,CHA,53,596,5.6,.409,.357,.242,.274,1.5,10.0,5.6,10.6,1.4,0.9,12.1,15.3,84,112,-0.7,0.1,-0.6,-0.051
82,Anthony Carter,PG,36,TOR,24,209,8.7,.409,.368,.189,.321,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,85,103,-0.3,0.3,0.0,.001
83,Vince Carter,SG,35,DAL,61,1542,13.6,.519,.480,.212,.378,2.3,12.5,7.5,15.0,1.9,1.3,12.4,20.4,102,103,1.0,1.8,2.9,.090
84,Omri Casspi,SF,23,CLE,65,1341,11.2,.499,.467,.262,.408,5.1,14.5,9.7,8.4,1.5,1.2,12.2,17.6,101,109,0.6,0.6,1.2,.044
85,Mario Chalmers,PG,25,MIA,64,1825,13.0,.578,.549,.203,.522,1.1,9.8,5.6,19.0,2.8,0.5,20.7,17.4,104,101,1.5,2.8,4.3,.112
86,Tyson Chandler,C,29,NYK,62,2061,18.7,.708,.679,.887,.006,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13.0,130,99,5.8,3.6,9.5,.220
87,Wilson Chandler,SF,24,DEN,8,215,9.0,.445,.411,.152,.152,3.4,18.4,11.1,12.0,1.4,2.2,17.6,21.2,86,105,-0.3,0.2,-0.1,-0.021
88,Josh Childress,SF,28,PHO,34,491,11.1,.501,.505,.020,.242,7.2,14.6,10.9,10.0,1.5,0.9,8.3,10.1,114,107,0.6,0.4,0.9,.092
89,Earl Clark,PF,24,ORL,45,559,8.1,.405,.367,.209,.000,7.1,18.6,12.8,5.2,1.2,4.5,14.1,14.8,87,101,-0.5,0.8,0.3,.027
90,Norris Cole,PG,23,MIA,65,1260,7.9,.452,.417,.189,.169,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,88,104,-1.4,1.4,0.0,.000
91,Jason Collins,C,33,ATL,30,308,3.7,.418,.400,.375,.000,4.6,13.6,9.1,4.6,0.7,0.7,17.7,8.6,87,104,-0.2,0.3,0.2,.025
92,Darren Collison,PG,24,IND,60,1878,13.6,.526,.472,.293,.180,1.8,9.3,5.6,24.9,1.4,0.6,16.2,17.0,108,107,2.3,1.5,3.8,.098
93,Nick Collison,PF,31,OKC,63,1307,12.1,.622,.597,.308,.005,11.1,12.7,12.0,9.3,1.3,1.6,21.1,10.0,121,105,2.3,1.2,3.5,.130
